date;value
24-07-2025 00:00;815.5
24-07-2025 01:00;640
24-07-2025 02:00;425.5
24-07-2025 03:00;351.25
24-07-2025 04:00;367.25
24-07-2025 05:00;305.75
24-07-2025 06:00;247.75
24-07-2025 07:00;202.5
24-07-2025 08:00;179.25
24-07-2025 09:00;181
24-07-2025 10:00;234.25
24-07-2025 11:00;288.5
24-07-2025 12:00;340.5
24-07-2025 13:00;426.25
24-07-2025 14:00;554.5
24-07-2025 15:00;741.5
24-07-2025 16:00;657
24-07-2025 17:00;453.5
24-07-2025 18:00;425.5
24-07-2025 19:00;514.25
24-07-2025 20:00;517.5
24-07-2025 21:00;725
24-07-2025 22:00;811.25
24-07-2025 23:00;847
25-07-2025 00:00;829.5
25-07-2025 01:00;638.5
25-07-2025 02:00;725
25-07-2025 03:00;1135.75
25-07-2025 04:00;1137.25
25-07-2025 05:00;994.5
25-07-2025 06:00;1070.5
25-07-2025 07:00;1103.25
25-07-2025 08:00;1130.5
25-07-2025 09:00;1156.75
25-07-2025 10:00;1100.75
25-07-2025 11:00;1170.25
25-07-2025 12:00;1304
25-07-2025 13:00;1436.25
25-07-2025 14:00;1545.5
25-07-2025 15:00;1815.5
25-07-2025 16:00;1868
25-07-2025 17:00;1940.5
25-07-2025 18:00;2100.5
25-07-2025 19:00;2096.5
25-07-2025 20:00;1754.5
25-07-2025 21:00;1589.75
25-07-2025 22:00;1536.5
25-07-2025 23:00;1542.25
26-07-2025 00:00;1599.25
26-07-2025 01:00;1648.5
26-07-2025 02:00;1509.5
26-07-2025 03:00;1424.5
26-07-2025 04:00;1437.75
26-07-2025 05:00;1547.25
26-07-2025 06:00;1388
26-07-2025 07:00;1213.5
26-07-2025 08:00;1236
26-07-2025 09:00;1270.75
26-07-2025 10:00;1242
26-07-2025 11:00;1246.5
26-07-2025 12:00;1365.75
26-07-2025 13:00;1375.25
26-07-2025 14:00;1245.5
26-07-2025 15:00;1179.25
26-07-2025 16:00;1157.25
26-07-2025 17:00;1107.25
26-07-2025 18:00;1046.25
26-07-2025 19:00;930
26-07-2025 20:00;705.5
26-07-2025 21:00;657.5
